DCM,151122
THF,130236
Methanol,85078
Ethanol,80260
DMF,75180
Water,49833
Acetonitrile,32972
Toluene,32672
Ethyl Acetate,22242
1'4-Dioxane,21344
Chloroform,15210
Acetone,14790
DMSO,12708
Diethyl Ether,8887
Isopropanol,8808
Benzene,8463
Carbon Tetrachloride,7905
N-Methylpyrrolidone,4701
Dichloroethane,3802
n-Butanol,3016
DMAc,2547
Hexane,2433
O-Xylene,2226
Butanone,2031
Pyridine,1971
1'1-Dichloroethane,1963
t-Butanol,1527
Chlorobenzene,994
Methyl t-Butyl Ether,874
Dimethoxyethane,664
Heptane,584
Diglyme,505
Cyclohexane,441
1-Propanol,431
DMPU,63
