solv,pt,path,energy,dist
water,0,0,-7472.12335788,0
water,1,1,-7472.123907,0.34265
water,2,1,-7472.125272,0.68527
water,3,1,-7472.127126,1.02791
water,4,1,-7472.129161,1.37065
water,5,1,-7472.131027,1.71315
water,6,1,-7472.132450,2.05546
water,7,1,-7472.133280,2.39217
water,8,1,-7472.133752,2.72552
water,9,1,-7472.134174,3.06802
water,10,1,-7472.134565,3.41068
water,11,1,-7472.134925,3.75343
water,12,1,-7472.135253,4.09619
water,13,1,-7472.135552,4.43894
water,14,1,-7472.135822,4.78170
water,15,1,-7472.136066,5.12445
water,16,1,-7472.136288,5.46720
water,17,1,-7472.136492,5.80996
water,18,1,-7472.136675,6.15270
water,19,1,-7472.136838,6.49544
water,20,1,-7472.136986,6.83817
water,21,1,-7472.137120,7.18092
water,22,1,-7472.137243,7.52364
water,23,1,-7472.137352,7.86632
water,24,1,-7472.137449,8.20894
water,25,1,-7472.137537,8.55152
water,26,1,-7472.137617,8.89411
water,27,1,-7472.137690,9.23658
water,28,1,-7472.137756,9.57894
water,29,1,-7472.137817,9.92130
water,30,1,-7472.137874,10.26379
water,31,1,-7472.137929,10.60644
water,32,1,-7472.137982,10.94905
water,33,1,-7472.138033,11.29162
water,1,2,-7472.123994,0.34277
water,2,2,-7472.126011,0.68546
water,3,2,-7472.129579,1.02816
water,4,2,-7472.134631,1.37088
water,5,2,-7472.140958,1.71361
water,6,2,-7472.148302,2.05634
water,7,2,-7472.156342,2.39907
water,8,2,-7472.164733,2.74181
water,9,2,-7472.173083,3.08452
water,10,2,-7472.181020,3.42720
water,11,2,-7472.188154,3.76978
water,12,2,-7472.194168,4.11213
water,13,2,-7472.198862,4.45418
water,14,2,-7472.202264,4.79595
water,15,2,-7472.204505,5.13709
water,16,2,-7472.205814,5.47462
water,17,2,-7472.206628,5.81279
water,18,2,-7472.207229,6.15400
water,19,2,-7472.207699,6.49505
water,20,2,-7472.208092,6.83676
water,21,2,-7472.208443,7.17912
water,22,2,-7472.208765,7.52179
water,23,2,-7472.209063,7.86454
water,24,2,-7472.209337,8.20731
water,25,2,-7472.209593,8.55006
water,26,2,-7472.209832,8.89283
water,27,2,-7472.210054,9.23558
water,28,2,-7472.210259,9.57835
water,29,2,-7472.210448,9.92112
water,30,2,-7472.210620,10.26390
water,31,2,-7472.210776,10.60667
water,32,2,-7472.210917,10.94944
water,33,2,-7472.211043,11.29221
water,34,2,-7472.211156,11.63499
water,35,2,-7472.211257,11.97775
water,36,2,-7472.211349,12.32051
water,37,2,-7472.211433,12.66327
water,38,2,-7472.211510,13.00603
water,39,2,-7472.211578,13.34880
water,40,2,-7472.211640,13.69157
water,41,2,-7472.211697,14.03434
water,42,2,-7472.211749,14.37712
dmf,0,0,-7472.12216796,0
dmf,1,1,-7472.122715,0.34263
dmf,2,1,-7472.124072,0.68522
dmf,3,1,-7472.125917,1.02784
dmf,4,1,-7472.127942,1.37057
dmf,5,1,-7472.129798,1.71304
dmf,6,1,-7472.131214,2.05532
dmf,7,1,-7472.132038,2.39199
dmf,8,1,-7472.132507,2.72533
dmf,9,1,-7472.132927,3.06782
dmf,10,1,-7472.133315,3.41046
dmf,11,1,-7472.133673,3.75318
dmf,12,1,-7472.134000,4.09592
dmf,13,1,-7472.134298,4.43866
dmf,14,1,-7472.134567,4.78140
dmf,15,1,-7472.134811,5.12413
dmf,16,1,-7472.135032,5.46686
dmf,17,1,-7472.135234,5.80960
dmf,18,1,-7472.135415,6.15232
dmf,19,1,-7472.135576,6.49504
dmf,20,1,-7472.135721,6.83774
dmf,21,1,-7472.135853,7.18046
dmf,22,1,-7472.135973,7.52315
dmf,23,1,-7472.136081,7.86581
dmf,24,1,-7472.136179,8.20844
dmf,25,1,-7472.136267,8.55107
dmf,26,1,-7472.136347,8.89364
dmf,27,1,-7472.136419,9.23607
dmf,28,1,-7472.136484,9.57842
dmf,29,1,-7472.136545,9.92084
dmf,30,1,-7472.136602,10.26335
dmf,31,1,-7472.136657,10.60598
dmf,32,1,-7472.136710,10.94863
dmf,33,1,-7472.136762,11.29121
dmf,34,1,-7472.136813,11.63380
dmf,1,2,-7472.122800,0.34275
dmf,2,2,-7472.124805,0.68542
dmf,3,2,-7472.128355,1.02810
dmf,4,2,-7472.133381,1.37080
dmf,5,2,-7472.139681,1.71351
dmf,6,2,-7472.146997,2.05622
dmf,7,2,-7472.155011,2.39893
dmf,8,2,-7472.163376,2.74165
dmf,9,2,-7472.171702,3.08434
dmf,10,2,-7472.179617,3.42700
dmf,11,2,-7472.186728,3.76956
dmf,12,2,-7472.192718,4.11189
dmf,13,2,-7472.197388,4.45392
dmf,14,2,-7472.200767,4.79566
dmf,15,2,-7472.202988,5.13676
dmf,16,2,-7472.204281,5.47416
dmf,17,2,-7472.205088,5.81237
dmf,18,2,-7472.205685,6.15357
dmf,19,2,-7472.206152,6.49462
dmf,20,2,-7472.206544,6.83632
dmf,21,2,-7472.206894,7.17867
dmf,22,2,-7472.207215,7.52133
dmf,23,2,-7472.207511,7.86406
dmf,24,2,-7472.207785,8.20681
dmf,25,2,-7472.208040,8.54954
dmf,26,2,-7472.208279,8.89229
dmf,27,2,-7472.208501,9.23502
dmf,28,2,-7472.208705,9.57777
dmf,29,2,-7472.208892,9.92052
dmf,30,2,-7472.209064,10.26327
dmf,31,2,-7472.209218,10.60603
dmf,32,2,-7472.209358,10.94878
dmf,33,2,-7472.209482,11.29153
dmf,34,2,-7472.209592,11.63428
dmf,35,2,-7472.209691,11.97703
dmf,36,2,-7472.209782,12.31976
dmf,37,2,-7472.209865,12.66249
dmf,38,2,-7472.209941,13.00522
dmf,39,2,-7472.210009,13.34797
dmf,40,2,-7472.210071,13.69072
