solv,pt,path,energy,dist
dmf,41,2,-7472.210128,14.03347
dmf,42,2,-7472.210180,14.37622
acetone,0,0,-7472.12033870,0
acetone,1,1,-7472.120881,0.34258
acetone,2,1,-7472.122228,0.68514
acetone,3,1,-7472.124058,1.02774
acetone,4,1,-7472.126068,1.37043
acetone,5,1,-7472.127912,1.71287
acetone,6,1,-7472.129318,2.05511
acetone,7,1,-7472.130135,2.39172
acetone,8,1,-7472.130600,2.72503
acetone,9,1,-7472.131015,3.06749
acetone,10,1,-7472.131400,3.41009
acetone,11,1,-7472.131755,3.75279
acetone,12,1,-7472.132080,4.09550
acetone,13,1,-7472.132376,4.43820
acetone,14,1,-7472.132645,4.78091
acetone,15,1,-7472.132887,5.12361
acetone,16,1,-7472.133106,5.46631
acetone,17,1,-7472.133306,5.80902
acetone,18,1,-7472.133486,6.15171
acetone,19,1,-7472.133644,6.49439
acetone,20,1,-7472.133785,6.83705
acetone,21,1,-7472.133913,7.17971
acetone,22,1,-7472.134031,7.52236
acetone,23,1,-7472.134138,7.86498
acetone,24,1,-7472.134235,8.20759
acetone,25,1,-7472.134322,8.55017
acetone,26,1,-7472.134401,8.89268
acetone,27,1,-7472.134472,9.23509
acetone,28,1,-7472.134536,9.57746
acetone,29,1,-7472.134596,9.91988
acetone,30,1,-7472.134653,10.26240
acetone,31,1,-7472.134708,10.60495
acetone,32,1,-7472.134761,10.94756
acetone,33,1,-7472.134813,11.29021
acetone,34,1,-7472.134864,11.63284
acetone,1,2,-7472.120965,0.34272
acetone,2,2,-7472.122952,0.68535
acetone,3,2,-7472.126473,1.02800
acetone,4,2,-7472.131462,1.37067
acetone,5,2,-7472.137720,1.71334
acetone,6,2,-7472.144992,2.05603
acetone,7,2,-7472.152964,2.39871
acetone,8,2,-7472.161290,2.74139
acetone,9,2,-7472.169579,3.08405
acetone,10,2,-7472.177458,3.42668
acetone,11,2,-7472.184533,3.76920
acetone,12,2,-7472.190484,4.11150
acetone,13,2,-7472.195115,4.45349
acetone,14,2,-7472.198457,4.79520
acetone,15,2,-7472.200647,5.13623
acetone,16,2,-7472.201918,5.47344
acetone,17,2,-7472.202713,5.81172
acetone,18,2,-7472.203304,6.15292
acetone,19,2,-7472.203769,6.49396
acetone,20,2,-7472.204160,6.83564
acetone,21,2,-7472.204509,7.17797
acetone,22,2,-7472.204828,7.52060
acetone,23,2,-7472.205123,7.86330
acetone,24,2,-7472.205395,8.20602
acetone,25,2,-7472.205649,8.54872
acetone,26,2,-7472.205888,8.89143
acetone,27,2,-7472.206109,9.23413
acetone,28,2,-7472.206312,9.57685
acetone,29,2,-7472.206498,9.91957
acetone,30,2,-7472.206667,10.26229
acetone,31,2,-7472.206819,10.60501
acetone,32,2,-7472.206956,10.94773
acetone,33,2,-7472.207077,11.29045
acetone,34,2,-7472.207184,11.63317
acetone,35,2,-7472.207280,11.97588
acetone,36,2,-7472.207369,12.31856
acetone,37,2,-7472.207451,12.66123
acetone,38,2,-7472.207526,13.00391
acetone,39,2,-7472.207594,13.34663
acetone,40,2,-7472.207657,13.68934
acetone,41,2,-7472.207714,14.03206
acetone,42,2,-7472.207766,14.37477
ctcl,0,0,-7472.08978240,0
ctcl,1,1,-7472.090264,0.34163
ctcl,2,1,-7472.091481,0.68376
ctcl,3,1,-7472.093134,1.02596
ctcl,4,1,-7472.094978,1.36825
ctcl,5,1,-7472.096720,1.71047
ctcl,6,1,-7472.098082,2.05230
ctcl,7,1,-7472.098894,2.39035
ctcl,8,1,-7472.099337,2.72165
ctcl,9,1,-7472.099715,3.06359
ctcl,10,1,-7472.100063,3.40585
ctcl,11,1,-7472.100386,3.74814
ctcl,12,1,-7472.100681,4.09037
ctcl,13,1,-7472.100946,4.43257
ctcl,14,1,-7472.101185,4.77477
ctcl,15,1,-7472.101396,5.11698
ctcl,16,1,-7472.101581,5.45922
ctcl,17,1,-7472.101740,5.80139
ctcl,18,1,-7472.101877,6.14344
ctcl,19,1,-7472.101998,6.48530
ctcl,20,1,-7472.102110,6.82677
ctcl,21,1,-7472.102215,7.16876
ctcl,22,1,-7472.102311,7.51082
ctcl,23,1,-7472.102398,7.85298
ctcl,24,1,-7472.102478,8.19511
ctcl,25,1,-7472.102551,8.53718
ctcl,26,1,-7472.102619,8.87911
ctcl,27,1,-7472.102685,9.22085
ctcl,28,1,-7472.102750,9.56240
ctcl,29,1,-7472.102819,9.90404
ctcl,30,1,-7472.102891,10.24590
ctcl,31,1,-7472.102964,10.58815
ctcl,32,1,-7472.103036,10.93036
ctcl,33,1,-7472.103100,11.27259
ctcl,34,1,-7472.103156,11.61480
ctcl,35,1,-7472.103204,11.95694
ctcl,1,2,-7472.090327,0.34216
ctcl,2,2,-7472.092074,0.68435
ctcl,3,2,-7472.095199,1.02660
ctcl,4,2,-7472.099636,1.36886
ctcl,5,2,-7472.105256,1.71113
ctcl,6,2,-7472.111847,2.05340
ctcl,7,2,-7472.119126,2.39568
ctcl,8,2,-7472.126757,2.73794
ctcl,9,2,-7472.134349,3.08020
ctcl,10,2,-7472.141509,3.42240
ctcl,11,2,-7472.147822,3.76446
ctcl,12,2,-7472.152980,4.10624
ctcl,13,2,-7472.156841,4.44768
ctcl,14,2,-7472.159502,4.78874
ctcl,15,2,-7472.161148,5.12783
ctcl,16,2,-7472.162089,5.46363
ctcl,17,2,-7472.162745,5.80392
ctcl,18,2,-7472.163271,6.14482
ctcl,19,2,-7472.163696,6.48562
ctcl,20,2,-7472.164060,6.82711
ctcl,21,2,-7472.164390,7.16917
ctcl,22,2,-7472.164695,7.51142
ctcl,23,2,-7472.164977,7.85371
ctcl,24,2,-7472.165238,8.19597
ctcl,25,2,-7472.165480,8.53824
ctcl,26,2,-7472.165702,8.88046
ctcl,27,2,-7472.165900,9.22265
ctcl,28,2,-7472.166077,9.56489
ctcl,29,2,-7472.166232,9.90714
ctcl,30,2,-7472.166365,10.24919
ctcl,31,2,-7472.166483,10.59107
ctcl,32,2,-7472.166596,10.93263
ctcl,33,2,-7472.166714,11.27432
ctcl,34,2,-7472.166839,11.61622
ctcl,35,2,-7472.166965,11.95830
ctcl,36,2,-7472.167090,12.30035
ctcl,37,2,-7472.167210,12.64247
ctcl,38,2,-7472.167323,12.98468
ctcl,39,2,-7472.167424,13.32688
ctcl,40,2,-7472.167510,13.66909
ctcl,41,2,-7472.167580,14.01126
ctcl,42,2,-7472.167638,14.35340
ctcl,43,2,-7472.167688,14.69558
dioxane,0,0,-7472.08951730,0
dioxane,1,1,-7472.089999,0.34162
dioxane,2,1,-7472.091214,0.68376
dioxane,3,1,-7472.092866,1.02596
dioxane,4,1,-7472.094709,1.36825
dioxane,5,1,-7472.096450,1.71047
dioxane,6,1,-7472.097813,2.05230
dioxane,7,1,-7472.098625,2.39037
dioxane,8,1,-7472.099068,2.72164
dioxane,9,1,-7472.099446,3.06357
dioxane,10,1,-7472.099794,3.40584
dioxane,11,1,-7472.100116,3.74812
dioxane,12,1,-7472.100411,4.09036
dioxane,13,1,-7472.100676,4.43256
dioxane,14,1,-7472.100914,4.77475
dioxane,15,1,-7472.101126,5.11697
dioxane,16,1,-7472.101310,5.45920
dioxane,17,1,-7472.101468,5.80137
dioxane,18,1,-7472.101605,6.14343
dioxane,19,1,-7472.101726,6.48527
dioxane,20,1,-7472.101838,6.82674
dioxane,21,1,-7472.101943,7.16872
dioxane,22,1,-7472.102039,7.51078
dioxane,23,1,-7472.102126,7.85294
dioxane,24,1,-7472.102205,8.19505
dioxane,25,1,-7472.102278,8.53711
dioxane,26,1,-7472.102347,8.87902
dioxane,27,1,-7472.102412,9.22073
dioxane,28,1,-7472.102479,9.56230
dioxane,29,1,-7472.102548,9.90398
dioxane,30,1,-7472.102620,10.24590
dioxane,31,1,-7472.102693,10.58815
dioxane,32,1,-7472.102765,10.93037
dioxane,33,1,-7472.102829,11.27259
dioxane,34,1,-7472.102884,11.61481
dioxane,35,1,-7472.102933,11.95695
dioxane,1,2,-7472.090061,0.34216
dioxane,2,2,-7472.091808,0.68435
dioxane,3,2,-7472.094930,1.02660
dioxane,4,2,-7472.099363,1.36886
dioxane,5,2,-7472.104978,1.71113
dioxane,6,2,-7472.111565,2.05340
dioxane,7,2,-7472.118838,2.39568
dioxane,8,2,-7472.126463,2.73795
dioxane,9,2,-7472.134049,3.08020
dioxane,10,2,-7472.141202,3.42240
dioxane,11,2,-7472.147508,3.76447
dioxane,12,2,-7472.152658,4.10624
dioxane,13,2,-7472.156512,4.44768
dioxane,14,2,-7472.159167,4.78874
dioxane,15,2,-7472.160808,5.12781
dioxane,16,2,-7472.161746,5.46361
dioxane,17,2,-7472.162401,5.80392
dioxane,18,2,-7472.162926,6.14482
dioxane,19,2,-7472.163350,6.48562
dioxane,20,2,-7472.163714,6.82711
dioxane,21,2,-7472.164044,7.16917
dioxane,22,2,-7472.164348,7.51143
dioxane,23,2,-7472.164630,7.85371
dioxane,24,2,-7472.164891,8.19598
dioxane,25,2,-7472.165133,8.53824
dioxane,26,2,-7472.165355,8.88047
dioxane,27,2,-7472.165553,9.22265
dioxane,28,2,-7472.165729,9.56489
dioxane,29,2,-7472.165884,9.90714
dioxane,30,2,-7472.166017,10.24918
dioxane,31,2,-7472.166134,10.59105
dioxane,32,2,-7472.166248,10.93261
dioxane,33,2,-7472.166367,11.27431
dioxane,34,2,-7472.166493,11.61622
dioxane,35,2,-7472.166620,11.95831
dioxane,36,2,-7472.166744,12.30035
dioxane,37,2,-7472.166865,12.64248
dioxane,38,2,-7472.166978,12.98469
dioxane,39,2,-7472.167079,13.32690
dioxane,40,2,-7472.167164,13.66912
dioxane,41,2,-7472.167234,14.01128
dioxane,42,2,-7472.167292,14.35342
dioxane,43,2,-7472.167342,14.69561
xylene,0,0,-7472.09389475,0
xylene,1,1,-7472.094451,0.34272
xylene,2,1,-7472.096227,0.68539
xylene,3,1,-7472.099400,1.02807
xylene,4,1,-7472.103903,1.37078
xylene,5,1,-7472.109601,1.71349
xylene,6,1,-7472.116281,2.05621
xylene,7,1,-7472.123658,2.39892
xylene,8,1,-7472.131392,2.74164
xylene,9,1,-7472.139090,3.08433
xylene,10,1,-7472.146361,3.42697
xylene,11,1,-7472.152801,3.76948
xylene,12,1,-7472.158105,4.11170
xylene,13,1,-7472.162120,4.45365
xylene,14,1,-7472.164902,4.79518
xylene,15,1,-7472.166623,5.13498
xylene,16,1,-7472.167616,5.47126
xylene,17,1,-7472.168297,5.81140
xylene,18,1,-7472.168810,6.15246
xylene,19,1,-7472.169218,6.49375
xylene,20,1,-7472.169564,6.83580
xylene,21,1,-7472.169869,7.17836
xylene,22,1,-7472.170140,7.52104
xylene,23,1,-7472.170386,7.86372
xylene,24,1,-7472.170614,8.20641
xylene,25,1,-7472.170824,8.54902
xylene,26,1,-7472.171016,8.89175
xylene,27,1,-7472.171193,9.23447
xylene,28,1,-7472.171365,9.57711
xylene,29,1,-7472.171540,9.91980
xylene,30,1,-7472.171713,10.26244
xylene,31,1,-7472.171881,10.60515
xylene,32,1,-7472.172039,10.94788
xylene,33,1,-7472.172183,11.29061
xylene,34,1,-7472.172308,11.63334
xylene,35,1,-7472.172410,11.97609
xylene,36,1,-7472.172492,12.31881
xylene,37,1,-7472.172556,12.66149
xylene,38,1,-7472.172612,13.00392
xylene,39,1,-7472.172670,13.34647
xylene,40,1,-7472.172732,13.68907
xylene,41,1,-7472.172797,14.03174
xylene,42,1,-7472.172863,14.37432
xylene,43,1,-7472.172924,14.71672
xylene,44,1,-7472.172978,15.05869
xylene,1,2,-7472.094376,0.34269
xylene,2,2,-7472.095601,0.68529
xylene,3,2,-7472.097279,1.02797
xylene,4,2,-7472.099137,1.37059
xylene,5,2,-7472.100888,1.71327
xylene,6,2,-7472.102265,2.05542
xylene,7,2,-7472.103094,2.39296
xylene,8,2,-7472.103561,2.72606
xylene,9,2,-7472.103956,3.06771
xylene,10,2,-7472.104313,3.40993
xylene,11,2,-7472.104635,3.75263
xylene,12,2,-7472.104923,4.09533
xylene,13,2,-7472.105178,4.43804
xylene,14,2,-7472.105404,4.78076
xylene,15,2,-7472.105605,5.12351
xylene,16,2,-7472.105784,5.46623
xylene,17,2,-7472.105946,5.80889
xylene,18,2,-7472.106095,6.15149
xylene,19,2,-7472.106227,6.49399
xylene,20,2,-7472.106338,6.83630
xylene,21,2,-7472.106429,7.17839
xylene,22,2,-7472.106503,7.52051
xylene,23,2,-7472.106564,7.86276
xylene,24,2,-7472.106617,8.20503
vac,0,0,-7472.05111588,0
vac,1,1,-7472.051538,0.34253
vac,2,1,-7472.052637,0.68495
vac,3,1,-7472.054132,1.02742
vac,4,1,-7472.055804,1.36985
vac,5,1,-7472.057417,1.71234
vac,6,1,-7472.058707,2.05444
vac,7,1,-7472.059502,2.39319
vac,8,1,-7472.059923,2.72407
vac,9,1,-7472.060269,3.06549
vac,10,1,-7472.060574,3.40743
vac,11,1,-7472.060845,3.74991
vac,12,1,-7472.061088,4.09242
vac,13,1,-7472.061303,4.43491
vac,14,1,-7472.061492,4.77736
vac,15,1,-7472.061657,5.11974
vac,16,1,-7472.061798,5.46202
vac,17,1,-7472.061920,5.80419
vac,18,1,-7472.062027,6.14631
vac,19,1,-7472.062123,6.48845
vac,20,1,-7472.062211,6.83059
vac,21,1,-7472.062294,7.17272
vac,22,1,-7472.062372,7.51492
vac,23,1,-7472.062449,7.85722
vac,24,1,-7472.062526,8.19962
vac,25,1,-7472.062602,8.54209
vac,26,1,-7472.062679,8.88457
vac,27,1,-7472.062757,9.22708
vac,28,1,-7472.062836,9.56959
vac,29,1,-7472.062914,9.91212
vac,30,1,-7472.062994,10.25465
vac,31,1,-7472.063075,10.59717
vac,32,1,-7472.063155,10.93971
vac,33,1,-7472.063235,11.28224
vac,34,1,-7472.063315,11.62477
vac,35,1,-7472.063394,11.96730
vac,36,1,-7472.063471,12.30983
vac,37,1,-7472.063547,12.65235
vac,38,1,-7472.063621,12.99488
vac,39,1,-7472.063694,13.33742
vac,1,2,-7472.051577,0.34257
vac,2,2,-7472.053102,0.68500
vac,3,2,-7472.055830,1.02749
vac,4,2,-7472.059716,1.36998
vac,5,2,-7472.064693,1.71248
vac,6,2,-7472.070594,2.05499
vac,7,2,-7472.077156,2.39749
vac,8,2,-7472.084044,2.73999
vac,9,2,-7472.090877,3.08247
vac,10,2,-7472.097244,3.42486
vac,11,2,-7472.102738,3.76707
vac,12,2,-7472.107074,4.10899
vac,13,2,-7472.110160,4.45038
vac,14,2,-7472.112090,4.79097
vac,15,2,-7472.113108,5.12564
vac,16,2,-7472.113698,5.46284
vac,17,2,-7472.114138,5.80338
vac,18,2,-7472.114500,6.14446
vac,19,2,-7472.114822,6.48640
vac,20,2,-7472.115118,6.82858
vac,21,2,-7472.115391,7.17109
vac,22,2,-7472.115639,7.51360
vac,23,2,-7472.115867,7.85609
vac,24,2,-7472.116078,8.19857
vac,25,2,-7472.116272,8.54104
vac,26,2,-7472.116449,8.88349
vac,27,2,-7472.116609,9.22591
vac,28,2,-7472.116757,9.56830
vac,29,2,-7472.116896,9.91069
vac,30,2,-7472.117025,10.25308
vac,31,2,-7472.117145,10.59547
vac,32,2,-7472.117260,10.93787
vac,33,2,-7472.117368,11.28030
vac,34,2,-7472.117473,11.62275
vac,35,2,-7472.117573,11.96521
vac,36,2,-7472.117671,12.30769
vac,37,2,-7472.117766,12.65018
vac,38,2,-7472.117860,12.99268
vac,39,2,-7472.117952,13.33518
